,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
858,It Won't Be Like This For Long,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,2008-01-01,0.584,0.524,-6.001,0.0287,0.335,0.11,0.389,143.863,-14.886436094668914
859,Me and You,Kenny Chesney,3f5rOhrNLYP53c9RcPfp02,1995-06-12,0.595,0.32,-9.494,0.0272,0.333,0.34,0.239,143.565,-14.946061113641921
860,Nobody But You (Duet with Gwen Stefani),Blake Shelton,5M8goiFYynmNxhueYW6grR,2019-12-13,0.463,0.653,-5.515,0.0273,0.111,0.172,0.233,143.912,-14.951764565401525
861,He Gets That From Me,Reba McEntire,46a3BjDPBdi6OngVhTkuM6,2003-01-01,0.643,0.391,-10.09,0.0296,0.622,0.11,0.418,143.786,-15.29294735153833
862,I Can Do Hard Things,Jennifer Nettles,0QrZ6ENSlmjPrEQcWPSFQT,2019-06-07,0.367,0.539,-6.644,0.0395,0.359,0.138,0.347,144.277,-15.307661565350138
863,Better Boat (feat. Mindy Smith),Kenny Chesney,357oRj2nlGc9QLjMGifVtS,2018-07-27,0.574,0.265,-11.3,0.0302,0.827,0.133,0.394,143.808,-15.65356963956976
864,My Old Man,Zac Brown Band,0jyYstiiibkN6xlS7INejg,2017-05-12,0.639,0.196,-11.478,0.0267,0.819,0.0978,0.3,143.907,-15.806130525793328
865,Does He Love You,Reba McEntire,0wFQnci5YCcwbKAWNBzqiA,1993-01-01,0.449,0.434,-10.657,0.0282,0.37,0.113,0.259,144.664,-16.284239938163466
866,All These Years,Sawyer Brown,3Wu3IMulUoneiGD4jDVi0n,1992-08-17,0.438,0.167,-11.018,0.0291,0.762,0.113,0.205,144.771,-16.494664042215902
867,Because You Love Me,Jo Dee Messina,2lZkIlYXN5SR0UWFgljDCd,1998-03-17,0.418,0.351,-9.407,0.0293,0.569,0.103,0.139,145.379,-16.708823960105345
868,Stupid Boy,Keith Urban,2gL2Pm7OJkk0X5neLyqiKB,2006-01-01,0.5,0.609,-7.215,0.0326,0.0822,0.341,0.562,145.884,-16.939752956493148
869,Go Rest High On That Mountain,Vince Gill,7C04W8ooqQD3vWKUSzeYnz,1994-01-01,0.325,0.143,-12.218,0.033,0.469,0.101,0.179,110.823,-17.205429513746708
870,Someone Else's Star,Bryan White,7bKbCLiqz01ZWc0lkP86LM,1994,0.384,0.222,-11.1,0.0304,0.683,0.204,0.3,146.532,-18.208459976791563
871,Infinite Love,Sara Evans,5gHyfU1kKbVSUXy8kMpmdv,2016-06-10,0.441,0.553,-5.105,0.0374,0.501,0.121,0.189,147.733,-18.786355773107847
872,Back To God,Reba McEntire,17na7DhhBLsajSS7Vb38Fe,2017-04-02,0.536,0.687,-4.995,0.034,0.156,0.111,0.317,147.866,-18.924050677008292
873,Need You Now,Lady A,11EX5yhxr9Ihl3IN1asrfK,2010-01-01,0.587,0.622,-5.535,0.0303,0.0927,0.2,0.231,107.943,-19.05017253516784
874,I Worship The Woman You Walked On,Ronnie Dunn,7jJA7WhCu64G3FOtFkPhcK,2016-11-11,0.473,0.591,-5.111,0.0281,0.194,0.141,0.319,106.949,-20.058059201882752
875,"Cheater, Cheater",Joey + Rory,0IErUOvyUhX4Gxji2LPjTc,2008-01-01,0.614,0.809,-4.771,0.0488,0.594,0.246,0.79,149.97,-21.03858753187233
876,Making Memories Of Us,Keith Urban,0Sg5kWoILCs2zBoIHIsDAa,2007-01-01,0.687,0.454,-9.379,0.0255,0.614,0.107,0.331,103.93,-23.266501404817316
877,Like There's No Yesterday,Mark Wills,3S1EAu4PRsti1rMFCgoGgo,2013-04-30,0.304,0.59,-5.696,0.0313,0.0971,0.317,0.451,154.625,-25.65339601270346
878,Don't Cry Joni,Conway Twitty,0pvfhcqCJj8DT4vpI5U1Kn,1994-05-31,0.719,0.372,-10.34,0.0265,0.87,0.176,0.607,100.387,-26.91280380273541
879,You're Gonna Be,Reba McEntire,1grjBg6CXBgbwwZe9eCchf,2005-01-01,0.411,0.539,-5.424,0.03,0.497,0.113,0.17,155.955,-26.98911126277506
880,Lonely Tonight (feat. Ashley Monroe),Blake Shelton,1zbcFS5hS92oXNL3UZDfY0,2014-09-30,0.41,0.747,-4.964,0.0358,0.0581,0.0983,0.369,158.064,-29.111741875388077
881,Three Wooden Crosses,Randy Travis,1S4fpfX2u0hzFD9vb6FEB6,2015-04-21,0.523,0.501,-9.276,0.0366,0.459,0.0818,0.391,158.179,-29.361393173897724
882,I Need You,Faith Hill,69CIs9za4BDajb7hnbDBX8,2007,0.508,0.594,-7.067,0.0282,0.355,0.143,0.215,159.298,-30.334140338295562
883,Two Sparrows In A Hurricane,Tanya Tucker,7k9F26WpokhmRjzwxlCsCP,1992-01-01,0.471,0.246,-13.678,0.0311,0.568,0.109,0.226,97.101,-30.784277732080042
884,Testify To Love,Wynonna,24McFHzEk1mDFMYL5ZcrqK,2016-04-29,0.628,0.743,-6.259,0.046,0.314,0.115,0.504,93.987,-32.99233978678138
885,"Here I Am, Lord",Collin Raye,3sT9XXvQO2o5lJRDFOHzso,2011-10-25,0.505,0.136,-11.031,0.029,0.945,0.133,0.274,93.775,-33.55806110272969
886,You And I,Eddie Rabbitt,7sWlOFUnQShNdxgk1B0TuW,1982-10,0.377,0.326,-12.515,0.0292,0.249,0.111,0.222,163.741,-35.32571277951753
887,Angels In Waiting,Tammy Cochran,74h3Wdt3mkmA9GX3qqkkbH,2001-05-01,0.691,0.366,-7.565,0.028,0.565,0.127,0.278,88.782,-38.22453024167402
888,Just Like Them Horses,Reba McEntire,1yzOPsHn0VKMivzz5KUvle,2015-01-01,0.281,0.369,-10.186,0.0295,0.708,0.119,0.156,167.537,-38.76743182718743
