,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
884,I'm Not,Zero 9:36,5bmxbmDia6hJvshHkzRYcb,2021-12-02,0.528,0.875,-4.039,0.0559,0.00323,0.34,0.484,94.972,-44.91006732278668
885,Burial Plot,Dayseeker,0v1QET6Q1YD7HQK4FBT8on,2019-09-27,0.428,0.873,-4.325,0.052,0.039,0.0528,0.222,92.558,-47.32544523999137
886,Obsolete,Of Mice & Men,4d8iN5Re3A6UOYVxZAbJ7v,2021-01-13,0.407,0.95,-6.998,0.193,0.000103,0.516,0.246,191.741,-49.95268521778687
887,Dark Days (feat. Jeris Johnson),Point North,0noEqnVKPCwEvgWekT1Pzl,2022-03-04,0.479,0.985,-2.752,0.141,0.000315,0.373,0.356,87.548,-52.34720743073888
888,Miles Away,Asking Alexandria,3vzplR5BR4AJTuBoy5NPuG,2022-01-21,0.484,0.758,-5.308,0.0478,0.0452,0.109,0.143,79.992,-59.90543155851175
889,Fly Away From Here,Aerosmith,4QB2cdh2v5zeRD1khGF9A5,2001-03-05,0.387,0.686,-5.368,0.0363,0.142,0.122,0.171,142.091,-0.8980594282473826
890,Catching Fire (Acoustic),Sum 41,5ULYE2LqN7zp0uCNWG1CHA,2019-07-19,0.68,0.454,-4.262,0.0392,0.232,0.112,0.238,139.012,-0.9754454524634224
891,Billie Jean,Chris Cornell,7sZD8tOmfRUObogGX8VzfZ,2007-01-01,0.513,0.625,-4.822,0.0436,0.592,0.12,0.408,137.863,-2.2105064593705195
892,Brother the Cloud,Eddie Vedder,3SQeF7y4ZKFaHiLkfw6CnW,2022-02-11,0.565,0.87,-5.58,0.0388,0.00129,0.122,0.43,138.03,-2.2924872502724143
893,Children of the Sun,Feeder,3zE4M7oIsAvx8HXCxdAOnH,2012,0.485,0.739,-4.938,0.0273,0.00913,0.186,0.15,135.91,-4.077029108000106
894,Hold On,Jet,6fTX2poT39Ucz6A7Tsqyg9,2016-11-25,0.423,0.755,-5.343,0.0301,0.00704,0.172,0.471,148.365,-6.615838226888602
895,Nutshell,Alice In Chains,2JuasWPUodaUxf5nwNpciQ,1994,0.384,0.561,-10.059,0.0296,0.373,0.0775,0.159,136.136,-6.762060471544061
896,Growin' Up - acoustic at home,Eddie Vedder,65KqSqOTL5DbFYU5d2kcaT,2020-12-25,0.376,0.483,-8.879,0.0289,0.666,0.139,0.494,134.255,-7.30180259137477
897,Rest My Chemistry,Interpol,1zNeVf6Qk402L4Urb7CcG8,2007-07-10,0.471,0.877,-5.576,0.0378,0.0193,0.276,0.419,150.092,-8.355164075893075
898,Stop Crying Your Heart Out,Oasis,0SlpFHdk4UHBDzCEoXzy14,2002-07-01,0.331,0.558,-5.506,0.031,0.0689,0.124,0.0985,150.19,-8.449693585406926
899,I Could Have Lied,Red Hot Chili Peppers,0NSbiBKXoODbsPwjSivfBr,1991-09-24,0.56,0.209,-13.591,0.039,0.0132,0.342,0.407,140.744,-8.67650420010036
900,Anno Satana,The Smashing Pumpkins,3tT3xchSIU6ypATkqiJed3,2020-11-27,0.51,0.947,-6.387,0.0301,4.14e-06,0.207,0.789,131.033,-9.157321280407514
901,Sunshower - Great Expectations Soundtrack,Various Artists,1KeMPxiiGuSqty4ecRllVE,1998,0.499,0.567,-6.1,0.0285,0.519,0.122,0.144,150.983,-9.34977138894417
902,Then Came the Last Days of May,Blue Öyster Cult,60TYdVs6TWIsAJ1MPRdv59,1972,0.367,0.609,-11.221,0.0457,0.301,0.196,0.443,149.386,-10.202930495406424
903,If I Had A Gun...,Noel Gallagher's High Flying Birds,63I1WTV8FKkL9F1V1mrUHN,2011-01-01,0.295,0.754,-3.16,0.0349,0.0465,0.164,0.18,152.465,-10.613157452445199
904,The Colour Of Love,The Smashing Pumpkins,0lgiMprywlwW4XlzrnZHCA,2020-11-27,0.499,0.724,-10.146,0.0344,7.52e-05,0.124,0.455,151.094,-10.951652527961322
905,Waving at the Window,Travis,2es8qAxNGOGFgCcKDg1tga,2020-10-09,0.55,0.758,-8.316,0.0288,0.211,0.101,0.298,129.136,-11.537072373261998
906,Immortality - Remastered,Pearl Jam,5TxUedy2CM04QihDdOFnsk,1994-11-22,0.633,0.543,-9.142,0.0296,0.0798,0.0964,0.118,129.089,-11.897079415743919
907,No Distance Left to Run,Blur,0SaRvx9eYudSCQYNjuCQKX,1999,0.419,0.208,-14.751,0.0339,0.722,0.108,0.108,148.07,-12.022050848394137
908,1979 - Acoustic,The Smashing Pumpkins,1hUD0aBTicbHb5G3p5P79e,2013-01-01,0.738,0.486,-10.293,0.0318,0.708,0.124,0.411,129.511,-12.05273573557135
909,Seasons,Various Artists,4QglwXpVgc088RhQOp42vx,1992-06-02,0.48,0.384,-12.705,0.0304,0.181,0.124,0.194,152.184,-13.313286066270958
910,Stormy Weather,Kings of Leon,2GJ8aSnidsI7oMHuG6idE2,2021-03-05,0.5,0.814,-5.47,0.0409,0.022,0.0677,0.465,125.441,-14.517147436889145
911,No Son Of Mine,Foo Fighters,3jSRg3DPkvNX74Kx28PQnH,2021-02-05,0.535,0.972,-4.428,0.0844,0.00131,0.0788,0.436,124.971,-14.91900486160379
912,Runaway Horses (feat. Phoebe Bridgers) - Abridged,The Killers,3PeCWDczrGqdD1E3mbok2X,2021-08-12,0.499,0.223,-15.253,0.0338,0.912,0.0962,0.304,129.291,-15.234986140297615
913,Imitation Of Life,R.E.M.,32kmXl5F8I3XDVKNfwwM4J,2001-01-01,0.461,0.755,-3.71,0.0318,0.0178,0.18,0.439,124.256,-15.627826693362739
914,Goodbye Kiss,Kasabian,3UObpfextMmFX50qmzooER,2011-09-16,0.616,0.834,-4.932,0.0422,0.0846,0.62,0.863,123.01,-16.912121046141106
915,Aurora,Foo Fighters,7dIh8FF0EzYKS8STv3v4F4,1999-11-02,0.586,0.858,-5.254,0.0313,0.00481,0.238,0.278,122.996,-16.93438079312014
916,California Waiting,Kings of Leon,6LhN47wHHsSzlbVzsXe7cY,2003-08-19,0.423,0.808,-4.808,0.0563,0.0159,0.117,0.616,159.55,-17.690753826446866
917,Selfless,The Strokes,2t0wwvR15fc3K1ey8OiOaN,2020-04-10,0.538,0.679,-4.297,0.0333,0.191,0.0889,0.0888,121.99,-17.89923943793526
918,Real Love Song,Nothing But Thieves,21T0qnyX1ybeEvb1ddRnI3,2020-10-23,0.538,0.801,-6.487,0.0457,0.00154,0.07,0.219,119.952,-20.08494602276144
919,Last Night on Earth,Green Day,5TpPSTItCwtZ8Sltr3vdzm,2009-05-15,0.556,0.486,-7.139,0.0329,0.0371,0.164,0.243,119.955,-20.173790823792853
920,I Am Mine - Live,Pearl Jam,2Jv83R0TvtN3eLI27GooQb,2022-03-10,0.189,0.86,-5.477,0.0504,0.341,0.964,0.409,162.181,-20.373147639852007
921,Don't Look Back In Anger - Remastered,Oasis,12dU3vAh6AFoJkisorfoUl,1995,0.328,0.936,-3.254,0.0628,0.0665,0.165,0.31,162.97,-21.099778743469
922,Wishlist - Live,Pearl Jam,6PbtSOJqwZQpXWBf0XgTsm,2022-03-10,0.444,0.709,-6.071,0.0314,0.709,0.731,0.215,118.724,-21.27839764392643
923,Sing,Travis,4yA2SM7XCLkSgkBUSoZb5S,2001-06-12,0.33,0.905,-5.047,0.0497,0.000233,0.0712,0.259,163.142,-21.28891583808476
924,Calling All Angels,Lenny Kravitz,2nxzEMUmIhSJeGBaXgh30x,2004-05-17,0.799,0.194,-8.184,0.0319,0.00333,0.102,0.364,118.913,-21.387906836764085
925,Since I've Been Loving You - Remaster,Led Zeppelin,1SDiiE3v2z89VxC3aVRKHQ,1970,0.393,0.364,-10.945,0.0345,0.0021,0.121,0.308,118.566,-22.39492303793675
926,Slip Away,Mad Season,34jo30lPEqp6QvJe04NAFu,1995,0.312,0.568,-6.196,0.034,0.00429,0.154,0.125,116.454,-23.5349953225582
927,Soldier of Love,Pearl Jam,0ll4shInilQVdYVrVVHpjB,1999,0.55,0.777,-7.299,0.0382,0.143,0.981,0.751,116.14,-23.984673677504897
928,Come Back,Pearl Jam,0sHdUji2tWxiRDfShSWHUN,2006-05-02,0.296,0.563,-5.58,0.029,0.0936,0.116,0.267,167.412,-25.583942553463658
929,Dance Of The Clairvoyants,Pearl Jam,3Y1q37A7ecFEdR5IAMWodA,2020-01-22,0.741,0.711,-7.744,0.0416,0.0122,0.0836,0.649,113.971,-26.18171361313166
930,It's Been Awhile - Acoustic Version,Various Artists,7BthXjPvJzKfK84oD9DQNq,2018-08-21,0.64,0.54,-7.561,0.0262,0.112,0.165,0.0621,113.835,-26.292305084137894
931,Trouble’s Coming,Royal Blood,5eR6OS3joTAHJToyzehKfu,2020-09-24,0.775,0.688,-5.038,0.0384,0.0533,0.321,0.805,112.009,-27.899510150128528
932,Stand By Me - Remastered,Oasis,5WTPhYmwwojFP73O7p3Izi,1997,0.194,0.825,-2.605,0.041,0.0864,0.182,0.35,169.974,-28.124534025499152
